Date,Mentions_Count,Sentiment_Score,Channel_E Commerce,Channel_General Trade,Channel_HoReCa,Channel_Modern Trade,Channel_Q Commerce,Brand_Amazon Solimo,Brand_B Natural,Brand_Minute Maid,Brand_Paper Boat,Brand_Real Fruit Juice,Brand_Tropicana
2023-01-02,4027,69.11666666666666,3,2,3,2,2,1,2,5,2,1,1
2023-01-09,4899,68.72500000000001,3,2,3,2,2,1,2,5,2,1,1
2023-01-16,6050,69.97500000000001,3,2,3,2,2,1,2,5,2,1,1
2023-01-23,4087,71.89166666666667,3,2,3,2,2,1,2,5,2,1,1
2023-01-30,4732,67.00833333333334,3,2,3,2,2,1,2,5,2,1,1
2023-02-06,4411,68.52499999999999,3,2,3,2,2,1,2,5,2,1,1
2023-02-13,5198,67.75,3,2,3,2,2,1,2,5,2,1,1
2023-02-20,4177,72.41666666666667,3,2,3,2,2,1,2,5,2,1,1
2023-02-27,4603,66.47500000000001,3,2,3,2,2,1,2,5,2,1,1
2023-03-06,4861,71.38333333333334,3,2,3,2,2,1,2,5,2,1,1
2023-03-13,4770,71.38333333333334,3,2,3,2,2,1,2,5,2,1,1
2023-03-20,3831,68.71666666666667,3,2,3,2,2,1,2,5,2,1,1
2023-03-27,4427,71.10833333333333,3,2,3,2,2,1,2,5,2,1,1
2023-04-03,4300,69.98333333333333,3,2,3,2,2,1,2,5,2,1,1
2023-04-10,4746,71.60833333333333,3,2,3,2,2,1,2,5,2,1,1
2023-04-17,5140,71.2,3,2,3,2,2,1,2,5,2,1,1
2023-04-24,4211,70.39999999999999,3,2,3,2,2,1,2,5,2,1,1
2023-05-01,4808,68.85000000000001,3,2,3,2,2,1,2,5,2,1,1
2023-05-08,6595,70.05833333333334,3,2,3,2,2,1,2,5,2,1,1
2023-05-15,4662,72.29166666666667,3,2,3,2,2,1,2,5,2,1,1
2023-05-22,4457,67.02499999999999,3,2,3,2,2,1,2,5,2,1,1
2023-05-29,4328,67.29166666666667,3,2,3,2,2,1,2,5,2,1,1
2023-06-05,5138,72.48333333333333,3,2,3,2,2,1,2,5,2,1,1
2023-06-12,5589,70.34166666666667,3,2,3,2,2,1,2,5,2,1,1
2023-06-19,5471,70.49166666666666,3,2,3,2,2,1,2,5,2,1,1
2023-06-26,4674,69.86666666666666,3,2,3,2,2,1,2,5,2,1,1
2023-07-03,4530,70.35000000000001,3,2,3,2,2,1,2,5,2,1,1
2023-07-10,5072,69.93333333333334,3,2,3,2,2,1,2,5,2,1,1
2023-07-17,4676,70.89999999999999,3,2,3,2,2,1,2,5,2,1,1
2023-07-24,6463,72.31666666666666,3,2,3,2,2,1,2,5,2,1,1
