Date,Units_Sold,Sales,Selling_Price,Population_Density(persons/km),Per_Capita_Income (INR),City_Name_Ahmedabad,City_Name_Bengaluru,City_Name_Bhopal,City_Name_Chandigarh,City_Name_Chennai,City_Name_Delhi,City_Name_Guwahati,City_Name_Hyderabad,City_Name_Jaipur,City_Name_Jammu,City_Name_Kochi,City_Name_Kolkata,City_Name_Lucknow,City_Name_Ludhiana,City_Name_Mumbai,City_Name_Nagpur,City_Name_Patna,City_Name_Pune,City_Name_Surat,City_Name_Visakhapatnam,City_tier_Tier 1,City_tier_Tier 2,Flavor Variant_Apple,Flavor Variant_Guava,Flavor Variant_Mixed Fruit,Flavor Variant_Orange,Pack Size (L)_0.135,Pack Size (L)_0.25,Pack Size (L)_1.0
2023-01-01,133098,2881566.0,30.67142857142857,8730.2,313292.1,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,168,252,40,0,200,180,20,160,240
2023-01-02,131995,2780910.0,30.67142857142857,8730.2,313292.1,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,168,252,40,0,200,180,20,160,240
2023-01-03,132096,2848796.7,30.67142857142857,8730.2,313292.1,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,168,252,40,0,200,180,20,160,240
2023-01-04,132530,2819088.9,30.67142857142857,8730.2,313292.1,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,168,252,40,0,200,180,20,160,240
2023-01-05,133672,2769576.6,30.67142857142857,8730.2,313292.1,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,168,252,40,0,200,180,20,160,240
2023-01-06,132451,2917442.7,30.67142857142857,8730.2,313292.1,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,168,252,40,0,200,180,20,160,240
2023-01-07,135688,2910941.4,30.67142857142857,8730.2,313292.1,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,168,252,40,0,200,180,20,160,240
2023-01-08,132944,2866795.2,30.67142857142857,8730.2,313292.1,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,168,252,40,0,200,180,20,160,240
2023-01-09,131533,2791623.0,30.67142857142857,8730.2,313292.1,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,168,252,40,0,200,180,20,160,240
2023-01-10,137644,2757248.7,30.67142857142857,8730.2,313292.1,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,168,252,40,0,200,180,20,160,240
2023-01-11,132538,2892741.6,30.67142857142857,8730.2,313292.1,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,168,252,40,0,200,180,20,160,240
2023-01-12,131293,2829445.8,30.67142857142857,8730.2,313292.1,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,168,252,40,0,200,180,20,160,240
2023-01-13,136387,2861368.2,30.67142857142857,8730.2,313292.1,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,168,252,40,0,200,180,20,160,240
2023-01-14,134118,2857178.1,30.67142857142857,8730.2,313292.1,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,168,252,40,0,200,180,20,160,240
2023-01-15,203267,4360079.4,30.67142857142857,8730.2,313292.1,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,168,252,40,0,200,180,20,160,240
2023-01-16,133316,2846715.3,30.67142857142857,8730.2,313292.1,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,168,252,40,0,200,180,20,160,240
2023-01-17,135803,2866900.5,30.67142857142857,8730.2,313292.1,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,168,252,40,0,200,180,20,160,240
2023-01-18,135817,2847158.4,30.67142857142857,8730.2,313292.1,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,168,252,40,0,200,180,20,160,240
2023-01-19,141749,2931148.5,30.67142857142857,8730.2,313292.1,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,168,252,40,0,200,180,20,160,240
2023-01-20,136051,2989358.1,30.67142857142857,8730.2,313292.1,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,168,252,40,0,200,180,20,160,240
