Week_Start_Date,City_ID,Avg_Temperature,Weather_Type,Festival,City_Name,City_tier,Population_Density(persons/km),Per_Capita_Income (INR)
2023-01-02,CT001,21.0,Cold,,Delhi,Tier 1,14893,"4,61,910"
2023-01-02,CT002,19.4,Cold,,Mumbai,Tier 1,20518,"4,00,000"
2023-01-02,CT003,19.8,Cold,,Kolkata,Tier 1,24252,171184
2023-01-02,CT004,20.8,Cold,,Chennai,Tier 1,14456,585501
2023-01-02,CT005,21.6,Cold,,Bengaluru,Tier 1,4378,352000
2023-01-02,CT006,18.8,Cold,,Hyderabad,Tier 1,10477,"4,00,000"
2023-01-02,CT007,21.0,Cold,,Ahmedabad,Tier 1,12984,302588
2023-01-02,CT008,20.4,Cold,,Pune,Tier 1,6034,336503
2023-01-02,CT009,19.5,Cold,,Jaipur,Tier 2,6502,141305
2023-01-02,CT010,18.4,Cold,,Lucknow,Tier 2,3814,105000
2023-01-02,CT011,23.0,Mild,,Kochi,Tier 2,3478,372783
2023-01-02,CT012,20.4,Cold,,Visakhapatnam,Tier 2,1809,483892
2023-01-02,CT013,18.3,Cold,,Bhopal,Tier 2,5552,147000
2023-01-02,CT014,19.7,Cold,,Chandigarh,Tier 2,9250,349000
2023-01-02,CT015,19.6,Cold,,Guwahati,Tier 2,1800,487572
2023-01-02,CT016,21.3,Cold,,Nagpur,Tier 2,9664,296607
2023-01-02,CT017,19.8,Cold,,Surat,Tier 2,8617,389810
2023-01-02,CT018,19.8,Cold,,Patna,Tier 2,2805,173305
2023-01-02,CT019,19.0,Cold,,Ludhiana,Tier 2,9750,123882
2023-01-02,CT020,20.5,Cold,,Jammu,Tier 2,3571,186000
2023-01-09,CT001,20.6,Cold,Pongal,Delhi,Tier 1,14893,"4,61,910"
2023-01-09,CT002,20.2,Cold,Pongal,Mumbai,Tier 1,20518,"4,00,000"
2023-01-09,CT003,20.1,Cold,Pongal,Kolkata,Tier 1,24252,171184
2023-01-09,CT004,20.7,Cold,Pongal,Chennai,Tier 1,14456,585501
2023-01-09,CT005,20.7,Cold,Pongal,Bengaluru,Tier 1,4378,352000
2023-01-09,CT006,20.4,Cold,Pongal,Hyderabad,Tier 1,10477,"4,00,000"
2023-01-09,CT007,19.9,Cold,Pongal,Ahmedabad,Tier 1,12984,302588
2023-01-09,CT008,21.8,Cold,Pongal,Pune,Tier 1,6034,336503
2023-01-09,CT009,20.7,Cold,Pongal,Jaipur,Tier 2,6502,141305
2023-01-09,CT010,19.2,Cold,Pongal,Lucknow,Tier 2,3814,105000
2023-01-09,CT011,23.3,Mild,Pongal,Kochi,Tier 2,3478,372783
2023-01-09,CT012,20.4,Cold,Pongal,Visakhapatnam,Tier 2,1809,483892
2023-01-09,CT013,19.8,Cold,Pongal,Bhopal,Tier 2,5552,147000
2023-01-09,CT014,19.9,Cold,Pongal,Chandigarh,Tier 2,9250,349000
2023-01-09,CT015,20.9,Cold,Pongal,Guwahati,Tier 2,1800,487572
2023-01-09,CT016,20.2,Cold,Pongal,Nagpur,Tier 2,9664,296607
2023-01-09,CT017,18.1,Cold,Pongal,Surat,Tier 2,8617,389810
2023-01-09,CT018,20.8,Cold,Pongal,Patna,Tier 2,2805,173305
2023-01-09,CT019,20.5,Cold,Pongal,Ludhiana,Tier 2,9750,123882
2023-01-09,CT020,20.6,Cold,Pongal,Jammu,Tier 2,3571,186000
2023-01-16,CT001,19.8,Cold,,Delhi,Tier 1,14893,"4,61,910"
2023-01-16,CT002,20.4,Cold,,Mumbai,Tier 1,20518,"4,00,000"
2023-01-16,CT003,22.2,Mild,,Kolkata,Tier 1,24252,171184
2023-01-16,CT004,20.5,Cold,,Chennai,Tier 1,14456,585501
2023-01-16,CT005,19.9,Cold,,Bengaluru,Tier 1,4378,352000
2023-01-16,CT006,21.2,Cold,,Hyderabad,Tier 1,10477,"4,00,000"
2023-01-16,CT007,21.3,Cold,,Ahmedabad,Tier 1,12984,302588
2023-01-16,CT008,19.7,Cold,,Pune,Tier 1,6034,336503
2023-01-16,CT009,19.4,Cold,,Jaipur,Tier 2,6502,141305
2023-01-16,CT010,20.4,Cold,,Lucknow,Tier 2,3814,105000
2023-01-16,CT011,18.9,Cold,,Kochi,Tier 2,3478,372783
2023-01-16,CT012,21.4,Cold,,Visakhapatnam,Tier 2,1809,483892
2023-01-16,CT013,18.8,Cold,,Bhopal,Tier 2,5552,147000
2023-01-16,CT014,20.2,Cold,,Chandigarh,Tier 2,9250,349000
2023-01-16,CT015,19.4,Cold,,Guwahati,Tier 2,1800,487572
2023-01-16,CT016,20.8,Cold,,Nagpur,Tier 2,9664,296607
2023-01-16,CT017,20.1,Cold,,Surat,Tier 2,8617,389810
2023-01-16,CT018,20.0,Cold,,Patna,Tier 2,2805,173305
2023-01-16,CT019,21.0,Cold,,Ludhiana,Tier 2,9750,123882
2023-01-16,CT020,20.7,Cold,,Jammu,Tier 2,3571,186000
2023-01-23,CT001,20.8,Cold,,Delhi,Tier 1,14893,"4,61,910"
2023-01-23,CT002,20.5,Cold,,Mumbai,Tier 1,20518,"4,00,000"
2023-01-23,CT003,19.8,Cold,,Kolkata,Tier 1,24252,171184
2023-01-23,CT004,20.9,Cold,,Chennai,Tier 1,14456,585501
2023-01-23,CT005,21.9,Cold,,Bengaluru,Tier 1,4378,352000
2023-01-23,CT006,23.0,Mild,,Hyderabad,Tier 1,10477,"4,00,000"
2023-01-23,CT007,21.1,Cold,,Ahmedabad,Tier 1,12984,302588
2023-01-23,CT008,20.9,Cold,,Pune,Tier 1,6034,336503
2023-01-23,CT009,18.6,Cold,,Jaipur,Tier 2,6502,141305
2023-01-23,CT010,21.2,Cold,,Lucknow,Tier 2,3814,105000
2023-01-23,CT011,20.5,Cold,,Kochi,Tier 2,3478,372783
2023-01-23,CT012,20.2,Cold,,Visakhapatnam,Tier 2,1809,483892
2023-01-23,CT013,20.7,Cold,,Bhopal,Tier 2,5552,147000
2023-01-23,CT014,22.9,Mild,,Chandigarh,Tier 2,9250,349000
2023-01-23,CT015,19.3,Cold,,Guwahati,Tier 2,1800,487572
2023-01-23,CT016,21.6,Cold,,Nagpur,Tier 2,9664,296607
2023-01-23,CT017,19.5,Cold,,Surat,Tier 2,8617,389810
2023-01-23,CT018,21.2,Cold,,Patna,Tier 2,2805,173305
2023-01-23,CT019,20.4,Cold,,Ludhiana,Tier 2,9750,123882
2023-01-23,CT020,21.5,Cold,,Jammu,Tier 2,3571,186000
2023-01-30,CT001,22.5,Mild,,Delhi,Tier 1,14893,"4,61,910"
2023-01-30,CT002,22.1,Mild,,Mumbai,Tier 1,20518,"4,00,000"
2023-01-30,CT003,23.8,Mild,,Kolkata,Tier 1,24252,171184
2023-01-30,CT004,22.7,Mild,,Chennai,Tier 1,14456,585501
2023-01-30,CT005,21.2,Cold,,Bengaluru,Tier 1,4378,352000
2023-01-30,CT006,22.1,Mild,,Hyderabad,Tier 1,10477,"4,00,000"
2023-01-30,CT007,21.6,Cold,,Ahmedabad,Tier 1,12984,302588
2023-01-30,CT008,20.6,Cold,,Pune,Tier 1,6034,336503
2023-01-30,CT009,22.6,Mild,,Jaipur,Tier 2,6502,141305
2023-01-30,CT010,22.6,Mild,,Lucknow,Tier 2,3814,105000
2023-01-30,CT011,21.0,Cold,,Kochi,Tier 2,3478,372783
2023-01-30,CT012,21.0,Cold,,Visakhapatnam,Tier 2,1809,483892
2023-01-30,CT013,20.5,Cold,,Bhopal,Tier 2,5552,147000
2023-01-30,CT014,22.8,Mild,,Chandigarh,Tier 2,9250,349000
2023-01-30,CT015,21.9,Cold,,Guwahati,Tier 2,1800,487572
2023-01-30,CT016,20.8,Cold,,Nagpur,Tier 2,9664,296607
2023-01-30,CT017,21.8,Cold,,Surat,Tier 2,8617,389810
2023-01-30,CT018,20.6,Cold,,Patna,Tier 2,2805,173305
2023-01-30,CT019,21.3,Cold,,Ludhiana,Tier 2,9750,123882
2023-01-30,CT020,23.4,Mild,,Jammu,Tier 2,3571,186000
2023-02-06,CT001,22.9,Mild,,Delhi,Tier 1,14893,"4,61,910"
2023-02-06,CT002,21.2,Cold,,Mumbai,Tier 1,20518,"4,00,000"
2023-02-06,CT003,21.8,Cold,,Kolkata,Tier 1,24252,171184
2023-02-06,CT004,21.2,Cold,,Chennai,Tier 1,14456,585501
2023-02-06,CT005,21.6,Cold,,Bengaluru,Tier 1,4378,352000
2023-02-06,CT006,23.1,Mild,,Hyderabad,Tier 1,10477,"4,00,000"
2023-02-06,CT007,21.3,Cold,,Ahmedabad,Tier 1,12984,302588
2023-02-06,CT008,21.1,Cold,,Pune,Tier 1,6034,336503
2023-02-06,CT009,21.6,Cold,,Jaipur,Tier 2,6502,141305
2023-02-06,CT010,22.6,Mild,,Lucknow,Tier 2,3814,105000
2023-02-06,CT011,22.4,Mild,,Kochi,Tier 2,3478,372783
2023-02-06,CT012,21.5,Cold,,Visakhapatnam,Tier 2,1809,483892
2023-02-06,CT013,22.6,Mild,,Bhopal,Tier 2,5552,147000
2023-02-06,CT014,22.4,Mild,,Chandigarh,Tier 2,9250,349000
2023-02-06,CT015,23.3,Mild,,Guwahati,Tier 2,1800,487572
2023-02-06,CT016,22.8,Mild,,Nagpur,Tier 2,9664,296607
2023-02-06,CT017,21.0,Cold,,Surat,Tier 2,8617,389810
2023-02-06,CT018,20.2,Cold,,Patna,Tier 2,2805,173305
2023-02-06,CT019,19.9,Cold,,Ludhiana,Tier 2,9750,123882
2023-02-06,CT020,23.0,Mild,,Jammu,Tier 2,3571,186000
2023-02-13,CT001,22.8,Mild,,Delhi,Tier 1,14893,"4,61,910"
2023-02-13,CT002,24.4,Mild,,Mumbai,Tier 1,20518,"4,00,000"
2023-02-13,CT003,20.8,Cold,,Kolkata,Tier 1,24252,171184
2023-02-13,CT004,21.6,Cold,,Chennai,Tier 1,14456,585501
2023-02-13,CT005,24.3,Mild,,Bengaluru,Tier 1,4378,352000
2023-02-13,CT006,21.7,Cold,,Hyderabad,Tier 1,10477,"4,00,000"
2023-02-13,CT007,22.7,Mild,,Ahmedabad,Tier 1,12984,302588
2023-02-13,CT008,21.4,Cold,,Pune,Tier 1,6034,336503
2023-02-13,CT009,24.5,Mild,,Jaipur,Tier 2,6502,141305
2023-02-13,CT010,23.0,Mild,,Lucknow,Tier 2,3814,105000
2023-02-13,CT011,23.2,Mild,,Kochi,Tier 2,3478,372783
2023-02-13,CT012,23.3,Mild,,Visakhapatnam,Tier 2,1809,483892
2023-02-13,CT013,22.0,Mild,,Bhopal,Tier 2,5552,147000
2023-02-13,CT014,24.4,Mild,,Chandigarh,Tier 2,9250,349000
2023-02-13,CT015,21.9,Cold,,Guwahati,Tier 2,1800,487572
2023-02-13,CT016,22.4,Mild,,Nagpur,Tier 2,9664,296607
2023-02-13,CT017,23.6,Mild,,Surat,Tier 2,8617,389810
2023-02-13,CT018,21.3,Cold,,Patna,Tier 2,2805,173305
2023-02-13,CT019,23.1,Mild,,Ludhiana,Tier 2,9750,123882
2023-02-13,CT020,23.5,Mild,,Jammu,Tier 2,3571,186000
2023-02-20,CT001,21.2,Cold,,Delhi,Tier 1,14893,"4,61,910"
2023-02-20,CT002,23.2,Mild,,Mumbai,Tier 1,20518,"4,00,000"
2023-02-20,CT003,24.0,Mild,,Kolkata,Tier 1,24252,171184
2023-02-20,CT004,23.1,Mild,,Chennai,Tier 1,14456,585501
2023-02-20,CT005,23.0,Mild,,Bengaluru,Tier 1,4378,352000
2023-02-20,CT006,23.6,Mild,,Hyderabad,Tier 1,10477,"4,00,000"
2023-02-20,CT007,24.0,Mild,,Ahmedabad,Tier 1,12984,302588
2023-02-20,CT008,24.2,Mild,,Pune,Tier 1,6034,336503
2023-02-20,CT009,24.7,Mild,,Jaipur,Tier 2,6502,141305
2023-02-20,CT010,24.5,Mild,,Lucknow,Tier 2,3814,105000
2023-02-20,CT011,21.8,Cold,,Kochi,Tier 2,3478,372783
2023-02-20,CT012,24.8,Mild,,Visakhapatnam,Tier 2,1809,483892
2023-02-20,CT013,25.6,Mild,,Bhopal,Tier 2,5552,147000
2023-02-20,CT014,24.3,Mild,,Chandigarh,Tier 2,9250,349000
2023-02-20,CT015,24.3,Mild,,Guwahati,Tier 2,1800,487572
2023-02-20,CT016,23.7,Mild,,Nagpur,Tier 2,9664,296607
2023-02-20,CT017,25.1,Mild,,Surat,Tier 2,8617,389810
2023-02-20,CT018,24.1,Mild,,Patna,Tier 2,2805,173305
2023-02-20,CT019,23.4,Mild,,Ludhiana,Tier 2,9750,123882
