Customer_ID,Age_Group,Income_Level,City_ID,Preferred_Flavor,Purchase_Frequency,Price_Sensitivity,Preferred_Channel,Active
cust_000001,26-35,362798.6815981729,CT015,Guava,2.0,Medium,E-commerce,1
cust_000002,36-45,402562.3440898918,CT002,Orange,3.0,Low,General Trade,1
cust_000003,46-55,373492.509081544,CT011,Orange,3.0,Medium,Modern Trade,1
cust_000004,18-25,442767.5234876689,CT017,Mixed Fruit,2.0,Low,Modern Trade,0
cust_000005,36-45,643181.5703144688,CT008,Guava,4.0,Medium,Modern Trade,0
cust_000006,46-55,227346.96214914176,CT016,Orange,0.0,Medium,General Trade,1
cust_000007,46-55,178286.3372101437,CT008,Orange,4.0,High,Modern Trade,0
cust_000008,36-45,186054.3672244215,CT009,Orange,4.0,Low,HoReCa,1
cust_000009,55+,159769.9061533943,CT018,Orange,3.0,Medium,General Trade,1
cust_000010,36-45,196468.55833136415,CT020,Mixed Fruit,1.0,High,General Trade,1
cust_000011,36-45,68795.2500394582,CT009,Mixed Fruit,2.0,Medium,General Trade,1
cust_000012,18-25,215117.92931240657,CT016,Mixed Fruit,2.0,High,Q-commerce,1
cust_000013,36-45,822652.8845054975,CT012,Guava,9.0,Medium,General Trade,1
cust_000014,18-25,142313.2882421142,CT010,Apple,1.0,High,E-commerce,0
cust_000015,18-25,469542.9597107268,CT007,Guava,2.0,Low,E-commerce,1
cust_000016,26-35,633767.0665115784,CT008,Mixed Fruit,2.0,Low,Modern Trade,0
cust_000017,18-25,240640.2987816984,CT014,Guava,0.0,Low,Q-commerce,1
cust_000018,18-25,89688.71173179429,CT009,Mixed Fruit,2.0,Medium,Q-commerce,1
cust_000019,26-35,122728.83274935286,CT020,Orange,3.0,High,E-commerce,1
cust_000020,46-55,300809.73504150694,CT018,Orange,1.0,High,Q-commerce,1
cust_000021,36-45,306414.2294414281,CT007,Apple,7.0,High,General Trade,1
cust_000022,26-35,266631.1467466164,CT020,Apple,3.0,High,E-commerce,1
cust_000023,55+,930239.4985859256,CT006,Guava,2.0,Medium,General Trade,1
cust_000024,18-25,462762.3456850793,CT005,Guava,0.0,Medium,Q-commerce,1
cust_000025,36-45,87846.60371252755,CT019,Mixed Fruit,4.0,Low,HoReCa,1
cust_000026,18-25,204532.25973041524,CT014,Mixed Fruit,0.0,Medium,E-commerce,1
cust_000027,55+,438009.9056098911,CT003,Guava,1.0,Medium,Q-commerce,1
cust_000028,26-35,151523.45456791238,CT020,Orange,4.0,High,Q-commerce,1
cust_000029,46-55,237648.74968348772,CT002,Orange,1.0,High,General Trade,1
cust_000030,18-25,213989.6822779259,CT020,Orange,5.0,Medium,E-commerce,0
cust_000031,26-35,307483.4007445496,CT016,Guava,2.0,High,Modern Trade,1
cust_000032,46-55,493046.0019240291,CT017,Mixed Fruit,7.0,Medium,E-commerce,1
cust_000033,26-35,141919.10947075786,CT009,Orange,3.0,High,Q-commerce,0
cust_000034,36-45,346916.80539635936,CT015,Orange,4.0,Medium,General Trade,1
